start_stn,r_weekday.1,r_weekday.2,r_weekday.3,r_weekday.4,r_weekday.5,r_weekday.6,r_weekday.7
325,0,0,0,0.5,0,0.5,0
326,0.161692797,0.163973249,0.156583708,0.160092095,0.161451595,0.109878303,0.086328253
327,0.156107699,0.155920884,0.152441445,0.154449712,0.157135184,0.127968615,0.095976461
328,0.153897153,0.155181701,0.14807525,0.149276924,0.148240998,0.129138524,0.11618945
329,0.156427747,0.163395949,0.158211775,0.158484626,0.153678245,0.11495435,0.094847308
330,0.160093612,0.169584814,0.163907428,0.165597642,0.171968449,0.09205166,0.076796394
331,0.166229454,0.177453096,0.169815706,0.17247219,0.180474846,0.074182301,0.059372406
332,0.167878964,0.173455533,0.15706527,0.166133256,0.168703327,0.086655029,0.080108622
333,0.136353131,0.133579847,0.155072799,0.163161544,0.154148371,0.1287266,0.128957707
334,0.149060214,0.149721909,0.151134718,0.149864978,0.15619579,0.135933616,0.108088774
335,0.154733406,0.159303591,0.150870511,0.157127312,0.155603917,0.124401523,0.097959739
336,0.16340315,0.169767819,0.163208313,0.167202468,0.167754506,0.092904692,0.075759052
337,0.14048594,0.154354354,0.151515152,0.148675949,0.152716353,0.132623533,0.11962872
338,0.151559264,0.159083919,0.146802534,0.152912472,0.153466057,0.130830582,0.10534517
339,0.149959631,0.152424255,0.150023371,0.153125398,0.155951217,0.135235627,0.1032805
340,0.144375926,0.149774012,0.150341269,0.152482205,0.148804187,0.134110414,0.120111987
341,0.144684789,0.152666281,0.142093696,0.147669173,0.151023713,0.136310006,0.125552342
342,0.141484176,0.151667569,0.146684206,0.14504372,0.15124971,0.135216281,0.128654337
343,0.154538125,0.160011881,0.158696482,0.15576866,0.160054313,0.116561293,0.094369245
344,0.142876814,0.157693261,0.14769629,0.147641211,0.153947839,0.133485721,0.116658864
345,0.172291772,0.178447174,0.17151863,0.168991049,0.180945018,0.078771299,0.049035059
346,0.150697946,0.150862384,0.143188628,0.147208215,0.154480012,0.140393189,0.113169627
347,0.145612772,0.14139917,0.142351995,0.141377996,0.151372067,0.148598289,0.129287711
348,0.152702228,0.156255483,0.144191964,0.147438147,0.153184769,0.131382699,0.11484471
349,0.146591131,0.166516898,0.151240477,0.148193006,0.143895292,0.130806798,0.112756398
350,0.157587214,0.16085238,0.148994673,0.170819728,0.156384258,0.10723492,0.098126826
351,0.148142656,0.153963076,0.15470453,0.148995329,0.149773856,0.133016979,0.111403574
352,0.158977605,0.158581942,0.149323415,0.145999842,0.150114742,0.129461106,0.107541347
353,0.150740358,0.157928719,0.134900138,0.147425964,0.150180785,0.139936295,0.118887741
354,0.148119675,0.152059709,0.150650266,0.152732398,0.153469152,0.134761996,0.108206804
355,0.153544593,0.155205271,0.154579114,0.15558641,0.157355984,0.120657737,0.103070892
356,0.150826969,0.16299125,0.152319053,0.152040868,0.157022912,0.120251884,0.104547064
358,0.146417483,0.151627984,0.149272552,0.148178109,0.146821951,0.132903487,0.124778435
359,0.155579194,0.16010692,0.157624853,0.157161171,0.15860677,0.111447508,0.099473584
361,0.147291099,0.15258475,0.145118461,0.146446184,0.150774218,0.139342001,0.118443287
362,0.150026253,0.150910548,0.144665211,0.150910548,0.150606571,0.133611518,0.119269351
363,0.148816652,0.158083832,0.143313373,0.152010265,0.150784146,0.131308811,0.11568292
364,0.143426819,0.15324277,0.153111306,0.147239264,0.152585451,0.135977213,0.114417178
365,0.207934337,0.165526676,0.161422709,0.154582763,0.123119015,0.073871409,0.113543092
367,0.130970112,0.162744514,0.150680171,0.144573528,0.149885811,0.13955913,0.121586734
368,0.153544308,0.158194964,0.151291647,0.154706972,0.156741634,0.118301057,0.107219416
369,0.15706619,0.157091745,0.160618451,0.161231791,0.162151802,0.102938922,0.098901099
370,0.173567927,0.175652937,0.165301046,0.167715268,0.17803058,0.081461702,0.058270539
371,0.150061559,0.148262146,0.133724785,0.136850081,0.138791552,0.152618619,0.139691259
372,0.139178989,0.149725985,0.145486506,0.141505532,0.150191294,0.140574915,0.13333678
373,0.151310457,0.137800594,0.133477439,0.145636315,0.137800594,0.140502567,0.153472035
374,0.150710153,0.157417149,0.150184114,0.147422409,0.147948448,0.12576714,0.120550587
375,0.14146614,0.15990263,0.151841654,0.148010695,0.155912048,0.130691568,0.112175266
377,0.156038647,0.151884058,0.148888889,0.161352657,0.169855072,0.119903382,0.092077295
378,0.157495305,0.166885339,0.159759204,0.158087006,0.158395719,0.122945126,0.076432302
379,0.15725091,0.155570081,0.14333738,0.14492483,0.16205995,0.125875432,0.110981417
380,0.16871307,0.166827306,0.162091941,0.167372082,0.160834765,0.094623476,0.079537359
381,0.150387842,0.15292069,0.140098148,0.141997784,0.136932088,0.14231439,0.135349058
